timestamp,phase,flighttime,lat,lon,alt,pressure,temperature,voltage
2024-08-20T10:05:06+09:00,1,265,0.00,40.2423,140.0103,3.10,1014.91,33.70,5.6
2024-08-20T10:05:07+09:00,1,266,0.00,40.2423,140.0103,3.10,1014.80,33.60,5.6
2024-08-20T10:05:08+09:00,1,267,0.00,40.2423,140.0103,3.10,1014.91,33.70,5.6
2024-08-20T10:05:09+09:00,1,268,0.00,40.2423,140.0103,3.10,1014.74,33.60,5.6
2024-08-20T10:05:10+09:00,1,269,0.00,40.2423,140.0103,3.10,1014.94,33.70,5.6
2024-08-20T10:05:11+09:00,1,270,0.00,40.2423,140.0103,3.10,1014.81,33.60,5.6
2024-08-20T10:05:12+09:00,1,271,0.00,40.2423,140.0103,3.10,1014.91,33.70,5.6
2024-08-20T10:05:13+09:00,1,272,0.00,40.2423,140.0103,3.10,1014.79,33.60,5.6
2024-08-20T10:05:14+09:00,1,273,0.00,40.2423,140.0103,3.10,1014.92,33.70,5.6
2024-08-20T10:05:15+09:00,1,274,0.00,40.2423,140.0103,3.10,1014.76,33.60,5.6
2024-08-20T10:05:16+09:00,1,275,0.00,40.2423,140.0103,3.10,1014.92,33.70,5.6
2024-08-20T10:05:17+09:00,1,276,0.00,40.2423,140.0103,3.10,1014.80,33.60,5.6
2024-08-20T10:05:18+09:00,1,277,0.00,40.2423,140.0103,3.10,1014.87,33.70,5.6
2024-08-20T10:05:19+09:00,1,278,0.00,40.2423,140.0103,3.10,1014.80,33.60,5.6
2024-08-20T10:05:20+09:00,1,279,0.00,40.2423,140.0103,3.10,1014.92,33.70,5.6
2024-08-20T10:05:21+09:00,1,280,0.00,40.2423,140.0103,3.10,1014.81,33.60,5.6
2024-08-20T10:05:22+09:00,1,281,0.00,40.2423,140.0103,3.10,1014.93,33.70,5.6
2024-08-20T10:05:23+09:00,1,282,0.00,40.2423,140.0103,3.10,1014.79,33.60,5.6
2024-08-20T10:05:24+09:00,1,283,0.00,40.2423,140.0103,3.10,1014.91,33.70,5.6
2024-08-20T10:05:25+09:00,1,284,0.00,40.2423,140.0103,3.10,1014.84,33.60,5.6
2024-08-20T10:05:26+09:00,1,285,0.00,40.2423,140.0103,3.00,1014.93,33.70,5.6
2024-08-20T10:05:27+09:00,1,286,0.00,40.2423,140.0103,3.00,1014.75,33.60,5.6
2024-08-20T10:05:28+09:00,1,287,0.00,40.2423,140.0103,3.00,1014.90,33.70,5.6
2024-08-20T10:05:29+09:00,1,288,0.00,40.2423,140.0103,3.00,1014.79,33.60,5.6
2024-08-20T10:05:30+09:00,1,289,0.00,40.2423,140.0103,3.00,1014.79,33.60,5.6
2024-08-20T10:05:30+09:00,1,290,0.00,40.2423,140.0103,3.00,1014.83,33.60,5.6
2024-08-20T10:05:31+09:00,1,291,0.00,40.2423,140.0103,3.00,1014.77,33.60,5.6
2024-08-20T10:05:32+09:00,1,292,0.00,40.2423,140.0103,3.00,1014.78,33.60,5.6
